Lista Vertices
A,B,C,D,E
Matriz Adyacencia - 1
1,2,4
1,3,11
1,4,9
2,3,3
2,5,13
3,4,8
3,5,5
4,5,10
---------------
Lista Vertices
1,2,3,4,5
6
Matriz Adyacencia - 2
1,2,7
1,3,9
1,6,14
2,3,10
2,4,15
3,4,11
3,6,2
4,5,6
5,6,9
---------------
Lista Vertices
Quito,Guayaquil,Cuenca,Ambato,Manta
Matriz Adyacencia - 3
1,2,200
1,3,150
1,4,90
1,5,220
2,3,120
2,5,80
3,4,60
3,5,160
4,5,140
---------------
Lista Vertices
Quito,Guayaquil,Cuenca,Manta,Loja
Ambato,Riobamba,SantoDomingo,Ibarra
Matriz Adyacencia - 4
1,2,410
1,3,200
1,6,120
1,9,110
2,3,150
2,4,270
2,5,480
2,6,300
3,4,220
3,6,130
3,7,180
4,8,200
5,7,210
6,7,70
7,9,95
8,2,260
8,9,230
---------------
Lista Vertices
Esmeraldas,Atacames,Quinindé,SanLorenzo
Matriz Adyacencia - 5
1,1,20
1,2,30
1,3,80
2,3,50
2,4,120
3,4,90
---------------
Lista Vertices
a,b,c
Matriz Adyacencia - 6
1,2,3
1,3,4
3,2,1
---------------
